Type,water- liters.day,Growth_Season,Temperature_C,Pot_Size,Light_Type,Soil_Type,Growth_Requirements,Care_Instructions,Water.ml_Notif/day,Growth_Tracker,Benefit
تفاح بري صحراوي (Crabapple - Desert),0.56,Spring,Nov-28,ground,Partial shade,Clay,Mulch to retain moisture,Protect from frost,560,Slow (40%),High in vitamin C and antioxidants
قيقب صحراوي (Maple - Desert),2.79,Summer,18-35,ground,Full sun,Sandy loam,Deadhead spent blooms,Keep soil evenly moist,2790,Fast (80%),Provide shade and cool the environment
كافور صحراوي (Eucalyptus - Desert),0.64,Summer,18-30,ground,Partial shade,Clay,Mulch to retain moisture,Trim regularly for shape,640,Fast (80%),Prevent soil erosion and retain moisture
صنوبر متساقط (Pine - Deciduous),1.02,Winter,Nov-34,large,Indirect light,Sandy loam,Deadhead spent blooms,Protect from frost,1020,Slow (40%),Provide shade and cool the environment
برقوق بري قزمي (Wild plum - Dwarf),2.86,Spring,Dec-34,ground,Full sun,Loamy,Deadhead spent blooms,"Water at base, not foliage",2860,Slow (40%),High in vitamin C and antioxidants
ليمون يوسفي بلدي (Lime - Native),0.35,Summer,17-30,large,Indirect light,Sandy,Regular watering,Keep soil evenly moist,350,Slow (40%),Used in perfumes and decoration
قيقب عطر الأوراق (Maple - Aromatic Leaves),0.57,Winter,15-35,large,Partial shade,Sandy loam,Fertilize monthly,"Water at base, not foliage",570,Fast (80%),Support ecosystems and reduce global warming
مورينغا ظل كثيف (Moringa - Dense Shade),2.49,Autumn,16-35,medium,Indirect light,Sandy,Deadhead spent blooms,Protect from frost,2490,Fast (80%),Provide shade and cool the environment
تين شوكي متساقط (Prickly pear - Deciduous),2.6,Autumn,18-22,large,Indirect light,Well-drained,Regular watering,"Water at base, not foliage",2600,Fast (80%),Helps prevent chronic diseases
بلوط صحراوي (Oak - Desert),1.92,Winter,Nov-36,ground,Full sun,Clay,Support stems/trellis,Avoid overwatering,1920,Medium (60%),Purify air and absorb pollutants
سدر عطر الأوراق (Ziziphus - Aromatic Leaves),2.61,Summer,Dec-29,large,Full sun,Sandy,Deadhead spent blooms,Keep soil evenly moist,2610,Medium-Fast (70%),Prevent soil erosion and retain moisture
سدر قزمي (Ziziphus - Dwarf),2.23,Summer,13-31,ground,Full sun,Loamy,Support stems/trellis,Keep soil evenly moist,2230,Fast (80%),Low in calories and ideal for diets
تبشيريا سريع النمو (Jacaranda - Fast Growing),1.85,Summer,14-27,ground,Full sun,Loamy,Fertilize monthly,Protect from frost,1850,Slow (40%),Fix nitrogen and enrich soil fertility
كركم مُجوّف (Turmeric - Hollow),2.02,Summer,20-27,ground,Partial shade,Sandy loam,Support stems/trellis,Trim regularly for shape,2020,Medium-Fast (70%),Soothing and antimicrobial properties
إكليل الجبل عطري (Rosemary - Fragrant),2.14,Summer,17-34,medium,Full sun,Sandy,Deadhead spent blooms,Keep soil evenly moist,2140,Fast (80%),Adds natural beauty to gardens
ريحان مطبخي (Basil - Culinary),1.88,Winter,15-22,ground,Partial shade,Well-drained,Support stems/trellis,"Water at base, not foliage",1880,Slow (40%),Soothing and antimicrobial properties
شبت أرجواني (Dill - Purple),2.95,Autumn,16-31,ground,Full sun,Well-drained,Support stems/trellis,Avoid overwatering,2950,Fast (80%),Used in cooking as natural seasoning
بقدونس عطري (Parsley - Fragrant),2.55,Summer,Nov-34,ground,Full sun,Sandy,Deadhead spent blooms,"Water at base, not foliage",2550,Slow (40%),Used in traditional herbal medicine
حرف قزمي (Garden cress - Dwarf),0.55,Spring,14-27,medium,Indirect light,Clay,Fertilize monthly,"Water at base, not foliage",550,Medium-Fast (70%),Low in calories and ideal for diets
زنجبيل مدمج (Ginger - Compact),0.41,Spring,18-27,large,Indirect light,Well-drained,Mulch to retain moisture,Trim regularly for shape,410,Fast (80%),Aromatic and refreshing scent
سنع طبي (Sage - Medicinal),0.6,Winter,16-25,ground,Indirect light,Sandy,Regular watering,Keep soil evenly moist,600,Slow (40%),Used in traditional herbal medicine
حبة البركة قزمي (Nigella sativa - Dwarf),0.62,Autumn,14-23,medium,Full sun,Clay,Deadhead spent blooms,Protect from frost,620,Medium-Fast (70%),Promote satiety and support weight control
شبت مدمج (Dill - Compact),1.53,Spring,Oct-29,medium,Full sun,Sandy loam,Regular watering,"Water at base, not foliage",1530,Slow (40%),Soothing and antimicrobial properties
نعناع ليموني (Mint - Lemony),0.57,Autumn,Nov-32,large,Full sun,Sandy,Support stems/trellis,Trim regularly for shape,570,Fast (80%),High in vitamin C and antioxidants
نعناع فلفلي بري (Peppermint - Wild),0.35,Autumn,20-23,large,Partial shade,Clay,Support stems/trellis,Protect from frost,350,Fast (80%),Aromatic and refreshing scent
شبت قزمي (Dill - Dwarf),0.57,Autumn,Oct-25,ground,Full sun,Sandy loam,Mulch to retain moisture,"Water at base, not foliage",570,Fast (80%),Aromatic and refreshing scent
حميض مُجوّف (Sorrel - Hollow),2.69,Summer,Oct-32,medium,Partial shade,Loamy,Support stems/trellis,Trim regularly for shape,2690,Fast (80%),Rich in vitamins and minerals
حرف عطري (Garden cress - Fragrant),0.99,Summer,18-29,medium,Partial shade,Sandy loam,Regular watering,Protect from frost,990,Slow (40%),Provides hydration and natural energy
نعناع بري طبي (Spearmint - Medicinal),1.47,Spring,15-31,ground,Partial shade,Sandy loam,Mulch to retain moisture,Keep soil evenly moist,1470,Slow (40%),Helps prevent chronic diseases
حميض طويل (Sorrel - Tall),1.79,Autumn,13-29,ground,Full sun,Sandy loam,Regular watering,Avoid overwatering,1790,Medium (60%),Contains antioxidants that reduce inflammation
بقدونس حار (Parsley - Hot),1.6,Winter,19-30,medium,Full sun,Sandy,Deadhead spent blooms,Protect from frost,1600,Medium (60%),Used in traditional herbal medicine
مردقوش بري (Oregano - Wild),1.17,Summer,Oct-24,ground,Partial shade,Loamy,Support stems/trellis,"Water at base, not foliage",1170,Fast (80%),Improves digestion and reduces bloating
كزبرة مدمج (Coriander - Compact),0.92,Spring,17-36,ground,Indirect light,Sandy,Mulch to retain moisture,Keep soil evenly moist,920,Slow (40%),Used in cooking as natural seasoning
نعناع فلفلي مطبخي (Peppermint - Culinary),0.62,Summer,18-30,medium,Indirect light,Clay,Fertilize monthly,Protect from frost,620,Medium-Fast (70%),Used in cooking as natural seasoning
راوند طبي (Rhubarb - Medicinal),1.3,Spring,18-30,large,Indirect light,Sandy,Mulch to retain moisture,"Water at base, not foliage",1300,Slow (40%),Attracts pollinators and supports biodiversity
كركم طبي (Turmeric - Medicinal),2.95,Winter,Oct-35,ground,Full sun,Sandy,Mulch to retain moisture,Avoid overwatering,2950,Slow (40%),Soothing and antimicrobial properties
حلوى المروج بري (Meadowsweet - Wild),0.76,Autumn,16-28,large,Indirect light,Sandy loam,Fertilize monthly,Keep soil evenly moist,760,Medium-Fast (70%),Adds natural beauty to gardens
حميض عطري (Sorrel - Fragrant),1.98,Autumn,13-25,large,Full sun,Well-drained,Fertilize monthly,"Water at base, not foliage",1980,Medium-Fast (70%),Some species purify indoor air
سنع بري (Sage - Wild),0.86,Spring,16-28,medium,Partial shade,Sandy loam,Regular watering,Keep soil evenly moist,860,Medium (60%),Soothing and antimicrobial properties
شبت عطري (Dill - Fragrant),0.5,Winter,19-30,large,Partial shade,Sandy,Regular watering,Avoid overwatering,500,Medium-Fast (70%),Improves digestion and reduces bloating
سنع مُجوّف (Sage - Hollow),1.63,Summer,13-34,medium,Indirect light,Well-drained,Support stems/trellis,Protect from frost,1630,Fast (80%),Soothing and antimicrobial properties
زعتر حار (Thyme - Hot),2.48,Autumn,18-29,ground,Full sun,Clay,Fertilize monthly,Avoid overwatering,2480,Medium (60%),Improves digestion and reduces bloating
راوند قزمي (Rhubarb - Dwarf),1.47,Autumn,15-30,large,Indirect light,Sandy,Regular watering,Protect from frost,1470,Fast (80%),Aromatic and refreshing scent
كركم ليموني (Turmeric - Lemony),1.52,Summer,Nov-27,medium,Full sun,Sandy loam,Deadhead spent blooms,Keep soil evenly moist,1520,Slow (40%),Provides hydration and natural energy
راوند مطبخي (Rhubarb - Culinary),2.98,Autumn,20-25,ground,Partial shade,Sandy loam,Mulch to retain moisture,Keep soil evenly moist,2980,Slow (40%),Used in cooking as natural seasoning
حميض قزمي (Sorrel - Dwarf),1.09,Summer,14-36,medium,Partial shade,Loamy,Mulch to retain moisture,Protect from frost,1090,Medium-Fast (70%),Contains beneficial natural sugars
نعناع بري مزروع (Spearmint - Cultivated),2.99,Spring,16-36,ground,Indirect light,Loamy,Fertilize monthly,"Water at base, not foliage",2990,Medium (60%),Helps prevent chronic diseases
سنع حار (Sage - Hot),1.49,Summer,19-22,ground,Full sun,Sandy loam,Mulch to retain moisture,Trim regularly for shape,1490,Slow (40%),Improves digestion and reduces bloating
كركم بري (Turmeric - Wild),1.57,Winter,14-25,ground,Full sun,Clay,Deadhead spent blooms,Keep soil evenly moist,1570,Fast (80%),Aromatic and refreshing scent
حبة البركة ليموني (Nigella sativa - Lemony),2.55,Summer,14-29,ground,Partial shade,Loamy,Fertilize monthly,Avoid overwatering,2550,Slow (40%),Boosts immunity and improves skin health
حبة البركة مطبخي (Nigella sativa - Culinary),0.34,Autumn,Nov-25,large,Partial shade,Sandy loam,Support stems/trellis,Protect from frost,340,Slow (40%),Provides hydration and natural energy
إكليل الجبل حار (Rosemary - Hot),1.3,Winter,Dec-32,ground,Full sun,Loamy,Mulch to retain moisture,Keep soil evenly moist,1300,Fast (80%),Used in perfumes and decoration
بقدونس مطبخي (Parsley - Culinary),0.86,Winter,Nov-24,medium,Partial shade,Well-drained,Deadhead spent blooms,Protect from frost,860,Medium (60%),Aromatic and refreshing scent
كزبرة حار (Coriander - Hot),2.22,Spring,18-33,large,Partial shade,Well-drained,Regular watering,"Water at base, not foliage",2220,Medium (60%),Used in cooking as natural seasoning
نعناع مدمج (Mint - Compact),2.82,Winter,Dec-27,ground,Partial shade,Sandy,Support stems/trellis,"Water at base, not foliage",2820,Fast (80%),Used in traditional herbal medicine
حلوى المروج ليموني (Meadowsweet - Lemony),1.02,Winter,Oct-22,ground,Partial shade,Sandy,Fertilize monthly,Protect from frost,1020,Fast (80%),Contains beneficial natural sugars
نعناع فلفلي أرجواني (Peppermint - Purple),2.65,Summer,17-32,medium,Full sun,Clay,Regular watering,Avoid overwatering,2650,Medium-Fast (70%),Used in cooking as natural seasoning
حميض طبي (Sorrel - Medicinal),0.9,Winter,18-30,medium,Indirect light,Clay,Regular watering,Keep soil evenly moist,900,Slow (40%),Natural source of fiber for better digestion
ريحان طبي (Basil - Medicinal),1.92,Spring,20-25,large,Full sun,Well-drained,Deadhead spent blooms,Keep soil evenly moist,1920,Medium-Fast (70%),Soothing and antimicrobial properties
حلوى المروج عطري (Meadowsweet - Fragrant),0.51,Winter,19-33,large,Full sun,Loamy,Deadhead spent blooms,Trim regularly for shape,510,Slow (40%),Contains beneficial natural sugars
زعتر قزمي (Thyme - Dwarf),2.19,Spring,14-30,medium,Partial shade,Sandy loam,Regular watering,"Water at base, not foliage",2190,Medium (60%),Aromatic and refreshing scent
نعناع فلفلي ليموني (Peppermint - Lemony),1.98,Summer,14-27,ground,Partial shade,Sandy,Mulch to retain moisture,Avoid overwatering,1980,Slow (40%),Provides hydration and natural energy
نعناع فلفلي حار (Peppermint - Hot),2.42,Autumn,15-27,medium,Partial shade,Sandy loam,Regular watering,Avoid overwatering,2420,Slow (40%),Used in cooking as natural seasoning
زعتر مطبخي (Thyme - Culinary),1.43,Summer,18-25,large,Partial shade,Well-drained,Regular watering,Avoid overwatering,1430,Fast (80%),Improves digestion and reduces bloating
حميض ليموني (Sorrel - Lemony),1.37,Autumn,15-30,large,Partial shade,Loamy,Deadhead spent blooms,Protect from frost,1370,Medium (60%),Boosts immunity and improves skin health
حرف ليموني (Garden cress - Lemony),1.57,Spring,Dec-22,medium,Partial shade,Sandy,Support stems/trellis,Trim regularly for shape,1570,Medium-Fast (70%),Helps prevent chronic diseases
سنع أرجواني (Sage - Purple),0.57,Winter,Dec-36,large,Indirect light,Well-drained,Fertilize monthly,"Water at base, not foliage",570,Medium (60%),Used in cooking as natural seasoning
زنجبيل قزمي (Ginger - Dwarf),0.83,Autumn,Oct-27,medium,Partial shade,Loamy,Fertilize monthly,Keep soil evenly moist,830,Medium-Fast (70%),Soothing and antimicrobial properties
نعناع حار (Mint - Hot),0.65,Spring,18-24,medium,Full sun,Loamy,Deadhead spent blooms,Keep soil evenly moist,650,Slow (40%),Used in cooking as natural seasoning
بقدونس قزمي (Parsley - Dwarf),2.98,Spring,13-27,large,Partial shade,Clay,Deadhead spent blooms,Protect from frost,2980,Slow (40%),Improves digestion and reduces bloating
نعناع عطري (Mint - Fragrant),1.23,Winter,14-31,medium,Indirect light,Well-drained,Mulch to retain moisture,Keep soil evenly moist,1230,Slow (40%),Aromatic and refreshing scent
شبت مُجوّف (Dill - Hollow),0.75,Summer,Nov-25,ground,Full sun,Clay,Deadhead spent blooms,Keep soil evenly moist,750,Fast (80%),Soothing and antimicrobial properties
نعناع فلفلي قزمي (Peppermint - Dwarf),0.61,Autumn,Dec-36,large,Indirect light,Sandy loam,Fertilize monthly,Trim regularly for shape,610,Slow (40%),Used in traditional herbal medicine
شبت حار (Dill - Hot),0.38,Autumn,15-25,ground,Indirect light,Sandy,Support stems/trellis,Keep soil evenly moist,380,Slow (40%),Used in cooking as natural seasoning
يسرى قزمي (Lovage - Dwarf),1.14,Summer,16-25,ground,Full sun,Well-drained,Fertilize monthly,"Water at base, not foliage",1140,Medium-Fast (70%),Used in traditional herbal medicine
كزبرة مطبخي (Coriander - Culinary),2.86,Autumn,Dec-24,medium,Partial shade,Well-drained,Regular watering,Avoid overwatering,2860,Medium-Fast (70%),Soothing and antimicrobial properties
كركم حار (Turmeric - Hot),0.97,Autumn,16-25,large,Partial shade,Sandy,Fertilize monthly,Trim regularly for shape,970,Medium-Fast (70%),Aromatic and refreshing scent
شبت طويل (Dill - Tall),1.87,Summer,16-27,large,Partial shade,Sandy,Support stems/trellis,"Water at base, not foliage",1870,Medium-Fast (70%),Aromatic and refreshing scent
ترنجان أرجواني (Lemon balm - Purple),1.56,Winter,Nov-30,medium,Full sun,Sandy loam,Regular watering,"Water at base, not foliage",1560,Medium (60%),Helps prevent chronic diseases
مردقوش طبي (Oregano - Medicinal),1.68,Spring,20-28,large,Indirect light,Well-drained,Mulch to retain moisture,Keep soil evenly moist,1680,Fast (80%),Soothing and antimicrobial properties
شبت مطبخي (Dill - Culinary),2.62,Spring,14-24,medium,Full sun,Loamy,Fertilize monthly,Trim regularly for shape,2620,Fast (80%),Soothing and antimicrobial properties
راوند مزروع (Rhubarb - Cultivated),0.33,Winter,19-31,medium,Indirect light,Sandy,Fertilize monthly,Avoid overwatering,330,Slow (40%),Supports heart and vascular health
ريحان حار (Basil - Hot),2.87,Summer,17-24,medium,Full sun,Clay,Support stems/trellis,Keep soil evenly moist,2870,Fast (80%),Used in traditional herbal medicine
بقدونس طبي (Parsley - Medicinal),2.19,Autumn,20-28,ground,Indirect light,Sandy loam,Regular watering,Keep soil evenly moist,2190,Slow (40%),Used in traditional herbal medicine
